Rank,Batsam Name,Total Runs Scored,Average,Strikerate
1,V Kohli,5426,35.69736842,131.987351
2,SK Raina,5386,33.6625,137.5383044
3,RG Sharma,4902,30.44720497,130.9994655
4,DA Warner,4717,41.37719298,143.2867558
5,S Dhawan,4601,33.58394161,125.5388813
6,CH Gayle,4525,41.13636364,152.2543742
7,MS Dhoni,4450,37.71186441,138.8022458
8,RV Uthappa,4420,28.33333333,130.7305531
9,AB de Villiers,4414,42.44230769,152.1019986
10,G Gambhir,4219,31.48507463,124.0882353
11,AM Rahane,3834,32.76923077,122.3747207
12,KD Karthik,3669,26.58695652,130.4301458
13,SR Watson,3590,31.2173913,139.9064692
14,AT Rayudu,3313,29.06140351,126.6437309
15,YK Pathan,3222,29.29090909,143.8392857
16,BB McCullum,2886,27.22641509,132.0823799
17,PA Patel,2864,22.5511811,121.7687075
18,MK Pandey,2855,30.05263158,121.3860544
19,KA Pollard,2772,27.17647059,147.5252794
20,Yuvraj Singh,2755,25.27522936,129.8915606
21,V Sehwag,2728,27.83673469,156.2428408
22,M Vijay,2589,27.83870968,123.0513308
23,SE Marsh,2489,38.29230769,133.3869239
24,JH Kallis,2427,27.26966292,109.3735917
25,DR Smith,2385,29.44444444,135.665529
26,SR Tendulkar,2334,32.87323944,120.1235203
27,SV Samson,2215,28.03797468,130.8328411
28,R Dravid,2174,28.23376623,115.823122
29,AC Gilchrist,2069,27.22368421,138.6729223
30,SPD Smith,2038,34.54237288,129.8089172
31,JP Duminy,2031,41.44897959,124.3723209
32,KL Rahul,1988,40.57142857,139.2156863
33,MEK Hussey,1977,38.01923077,122.9477612
34,RA Jadeja,1931,23.26506024,123.2291002
35,F du Plessis,1861,33.23214286,127.5531186
36,DA Miller,1858,34.40740741,140.0150716
37,DPMD Jayawardene,1808,28.25,123.8356164
38,WP Saha,1767,23.87837838,131.8656716
39,RR Pant,1767,36.06122449,164.9859944
40,AJ Finch,1741,26.37878788,130.7057057
41,MK Tiwary,1696,28.26666667,117.2890733
42,SS Iyer,1695,29.73684211,128.3118849
43,KC Sangakkara,1687,24.44927536,121.629416
44,NV Ojha,1555,21.01351351,118.883792
45,Mandeep Singh,1535,21.61971831,125.1018745
46,DJ Bravo,1494,23.71428571,129.3506494
47,Q de Kock,1478,32.13043478,133.2732191
48,KK Nair,1465,24.01639344,128.8478452
49,S Badrinath,1441,30.02083333,119.0909091
50,AD Russell,1415,34.51219512,188.1648936
51,GJ Maxwell,1401,22.59677419,162.1527778
52,BJ Hodge,1400,30.43478261,125.3357207
53,JC Buttler,1396,37.72972973,151.9042437
54,SC Ganguly,1349,24.98148148,106.9785884
55,DJ Hussey,1322,27.54166667,123.6669785
56,KS Williamson,1309,38.5,135.7883817
57,CA Lynn,1288,34.81081081,141.6941694
58,SS Tiwary,1276,30.38095238,119.924812
59,MA Agarwal,1269,18.94029851,128.4412955
60,TM Dilshan,1153,28.12195122,114.612326
61,IK Pathan,1150,22.11538462,121.3080169
62,ML Hayden,1107,41,138.0299252
63,N Rana,1093,27.325,135.2722772
64,KM Jadhav,1087,23.63043478,127.7320799
65,HH Pandya,1082,28.47368421,157.0391872
66,LMP Simmons,1079,39.96296296,126.7920094
67,LRPL Taylor,1017,24.80487805,124.3276284
68,M Vohra,1013,24.11904762,132.0730117
69,KP Pietersen,1001,35.75,135.2702703
70,AS Yadav,995,28.42857143,133.3780161
71,Y Venugopal Rao,985,23.45238095,118.1055156
72,JA Morkel,975,24.375,142.9618768
73,A Symonds,974,37.46153846,130.2139037
74,CL White,971,27.74285714,127.7631579
75,MC Henriques,969,27.68571429,128.1746032
76,KH Pandya,897,28.03125,147.2906404
77,HH Gibbs,886,27.6875,110.4738155
78,STR Binny,880,20,128.8433382
79,EJG Morgan,854,22.47368421,121.6524217
80,Harbhajan Singh,831,14.83928571,139.1959799
81,AR Patel,800,18.60465116,127.388535
82,MS Bisla,798,21.56756757,114.4906743
83,SP Narine,785,19.625,171.3973799
84,ST Jayasuriya,768,26.48275862,144.6327684
85,RA Tripathi,761,28.18518519,137.6130199
86,Shakib Al Hasan,750,22.05882353,127.5510204
87,GC Smith,739,24.63333333,110.960961
88,AD Mathews,724,23.35483871,126.3525305
